,0
HIStex,1.0111356196773613e-13
FE3DCITabcpp,2.6294522115222208e-12
HXAtex,0.0
HACD1,7.167599846980011e-13
HYXNtex,1.078026556911027e-13
IDONtex,0.0
ILEtex,0.0
INSTtex,0.0
INStex,0.0
Ktex,0.0
CPGNtonex,5.826450433232822e-13
GLCRtex,0.0
GLCNtex,0.0
GLCURtex,0.0
GLNtex,0.0
O2tex,249.99647863693536
EX_ppa_e,0.0
HACD2,6.770140004164205e-13
OCTAtex,0.0
D_LACtex,0.0
NTD8pp,0.0
ORNtex,0.0
FRULYStex,0.0
MALTtexi,0.0
ECOAH5,2.0249912857650543e-12
DHFS,2.222614453595284e-17
CITt7pp,1.539035565656377e-11
CRNt7pp,0.0
EX_ni2_e,5.421010862427522e-20
GLCtex_copy1,1000.0
EX_no_e,7.624297027053473e-12
CHLabcpp,2.5295321393059567e-12
DGSNt2pp,0.0
FE3DCITtonex,2.149613820279228e-12
DINSt2pp,0.0
DURIt2pp,0.0
FE2abcpp,1.8474111129762605e-12
FRUptspp,0.0
FUCtpp,0.0
EX_fad_e,0.0
GALCTt2rpp,0.0
GALt2pp,0.0
ASPtex,2.0439205883349132e-13
ABUTt2pp,1000.0
FUMt2_2pp,9.976020010071807e-12
FUMt2_3pp,7.074729690970116e-12
PHEtex,0.0
FEENTERtonex,2.1742607714259066e-12
CSNt2pp,0.0
CYNTt2pp,0.0
CYSabcpp,5.243805389909539e-12
SBTptspp,0.0
PItex,1.787903158856352e-12
TREHpp,0.0
CYTBDpp,1.2747136679536197e-11
CYTDt2pp_copy1,1000.0
CYTDt2pp_copy2,1000.0
DADNt2pp,0.0
DCYTt2pp,0.0
CYTBD2pp,1.286859507843019e-11
ACGAMK,4.369837824924616e-13
ACALDtpp,4.014566457044566e-13
ACt2rpp,1000.0
DDGLCNt2rpp,0.0
RMNtex,0.0
EX_meoh_e,2.160571259560509e-14
EX_fe3dcit_e,1.0080825063596421e-13
EX_fe3hox_e,0.0
EX_fecrm_e,0.0
EX_feenter_e,0.0
EX_feoxam_e,0.0
MALTTRtexi,0.0
MALTTTRtexi,0.0
MALTPTtexi,0.0
METS,7.230327447871332e-14
ASPO3,0.001997799654467304
ASPO5,0.001997799654467304
ASPO4,0.0019977996544673156
EX_3amp_e,0.0
EX_3gmp_e,0.0
EX_3ump_e,0.0
ASPO6,0.001997799654467304
EX_cu2_e,1.8431436932253575e-18
LCTStex,0.0
